date,text,comments_count,likes_count,reposts_count,activity
1602590409,"КОНКУРС! Выиграйте уроки английского и бьюти-боксы 🎁

Skyeng и «Подружка» объединились, чтобы порадовать вас пасмурной осенью 🍂 и разыграть общий приз — 3 сертификата на четыре урока английского и 3 бьюти-бокса 😍

Условия участия очень простые: 

✅ Подпишитесь на группы Skyeng и [club32598214|«Подружки»] во ВКонтакте и поставьте ➕ под этой записью. 

Среди всех комментаторов мы выберем победителей с помощью рандомайзера. Чем больше комментариев, тем выше шансы на победу! Итоги конкурса подведем 20 октября. 
Всем удачи! 💙",10962,117,2,11081
1554800244,"Через 15 дней вы накачаете пресс и выучите английский. Ну, может, про пресс мы погорячились. 

Запускаем марафон «Формируем привычку учить английский за 15 дней».

КТО МОЖЕТ УЧАСТВОВАТЬ?
Все. Это бесплатно, а возраст и уровень английского не важен. Главное – желание ускориться в изучении языка. 

ЧТО ТАМ БУДЕТ?
Короткие советы: как внедрить английский в жизнь, даже если совсем нет на него времени. Вам нужно будет всего 15 минут в день. А среди тех, кто добежит до конца, мы разыграем 5 бесплатных курсов английского в Skyeng. 

И КАКОЙ РЕЗУЛЬТАТ?
Марафон поможет вам прокачать себя и попасть в классную среду. Вместе с вами будут учиться другие участники: общайтесь, делитесь успехами и находите друзей, с которыми можно поговорить на любом языке :) 

Начинаем: https://vk.com/app6258612_-51890028#lists/5c3ef630f450b97a7135319b&utm_content=marathon&utm_medium=post&utm_source=smm",239,7005,1345,8589
1416930109,"100 полезных английских фраз
Эти фразы выручат в любой ситуации. Сохраните, пригодится.

How's life? - Как жизнь?
It is new to me - Это новость для меня
Long time no see! - Давно не виделись!
What are you up to? - Чем занимаешься?
See you soon! - До скорого!
Good luck! - Удачи!
Things happen - Всякое бывает
Until we meet again! - До новой встречи!
Have a nice day! - Хорошего дня!
You were saying? - Вы что-то сказали?
Don’t worry about it! - Не волнуйтесь об этом!
Exactly so - Именно так
It’s a great idea! - Отличная идея!
Say hi to … - Передавай привет …

Все 100 полезных фраз в пяти картинках! Еще несколько тысяч популярных английских слов и выражений в группе http://vk.com/skyeng

Новые фразы каждый день.
Присоединяйтесь, учите, общайтесь.",0,4012,973,4985
1604923204,"КОНКУРС! Выиграйте уроки английского и боксы с ПП-батончиками 🎁

Skyeng и [club134796912|BOMBBAR] объединились, чтобы разыграть общие призы: 

От Skyeng:
🥇 Сертификат на 4 урока английского. 
🥈🥉 Абонементы в разговорные клубы на месяц. 

От Bombbar:
🥇 Эксклюзивный набор (ассорти разной продукции). 
🥈 Бокс панкейков. 
🥉 500 бонусов. 

Условия участия очень простые: 

✅ Подпишитесь на группы Skyeng и [club134796912|BOMBBAR] во ВКонтакте и поставьте ➕ под этой записью. 

Среди всех комментаторов мы выберем победителей с помощью рандомайзера. Чем больше комментариев, тем выше шансы на победу! Итоги конкурса подведем 16 ноября. 
Всем удачи! 💙",2891,133,6,3030
1568444249,"😑Предлоги в английском — больная тема для всех, кто изучает язык. Да чего уж там — даже носители иногда в них путаются. Чтобы вам было легче запомнить правила употребления предлогов, которые путают особенно часто, мы сделали красивые и понятные таблички. 

😎С вас - репост и комменарий.

🔥Бесплатный вводный урок https://skyeng.ru/go/vvyr1",50,1931,445,2426
1574414757,"Кот Виктор показывает, как стал причиной скандала с «Аэрофлотом», используя все 12 времен английского. 

Он поможет вам разобраться, чем Past Simple отличается от Present Perfect и используется ли в реальной жизни Future Perfect Continuous.
Поддержите Виктора репостом.😻",54,1623,203,1880
1561301735,"Играем в слова. У кого словарный запас больше? 
Напишите в комментариях английское слово и его перевод на последнюю букву предыдущего слова.
Let's play the game! Начинаем.
⠀
Knowledge (знание)
Evening (вечер)
⬇",1634,135,3,1772
1587207600,"Без фразовых глаголов можно понимать только самые базовые английские выражения. Порой значение всей фразы зависит от предлога или наречия. Мы собрали самые распространенные фразовые глаголы — сохраняйте их, чтобы они всегда были под рукой.🙃🙃",36,1398,272,1706
1581057787,"Английский снова сводит нас с ума, 😉и ему вообще не стыдно. Ничего, и на правила чтения можно найти управу — мы сделали простые и понятные карточки с основными закономерностями, когда буквы притворяются невидимыми.

Еще карточек? Ставьте плюсики в комментариях.🙃",111,1383,197,1691
1589373062,"Готовы ли вы к жизни в англоговорящем городе? 
Попробуйте свои силы в симуляторе Skycity! 
 
Вас ждет путешествие в виртуальный город, в котором все говорят и пишут на английском. У вас есть дом, работа, друзья, вы занимаетесь спортом, ходите на шоппинг и свидания. Но достаточно ли ваших знаний, чтобы справиться с простыми ежедневными делами и стать своим в иностранной среде? 
 
Зайдите в приложение и проверьте себя: https://vk.com/app7450503 
 
Играйте, зарабатывайте баллы и обменивайте их на полезные материалы и скидки на уроки Skyeng. А самые лучшие игроки попадут на «аллею звезд» Skycity и получат фирменные толстовки Skyeng! Также подпишитесь на рассылку в приложении и получите дополнительный секретный приз!",84,1479,115,1678
1596104809,Подписывайтесь на [club51890028|Skyeng],26,1458,156,1640
1569916801,📚🤓Ну вы поняли.👇🏻😉,44,1426,81,1551
1583935214,,66,1423,57,1546
1597644180,Все самые главные фразовые глаголы в карточках. Сохраняйте себе. 👇🏻,18,1207,233,1458
1574838003,"Методисты онлайн-школы Skyeng составили чек-лист: какие темы английской грамматики учить на каждом уровне языка.
📌И как только вы сделаете репост этой записи, запишитесь на первое БЕСПЛАТНОЕ занятие в Skyeng по ссылке: http://skyeng.ru/go/freezan1212",35,1175,231,1441
